Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalSpend,TotalPurchases,TotalChildren,CampaignAccepted,SpendPerPurchase,Edu_Encoded,Cluster,PCA1,PCA2
1949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,75,972,14,1,1,69.42857142857143,4,2,1.2218191203358322,1.9211464185014013
1954,PhD,Married,65324.0,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,70,544,17,1,0,32.0,4,2,0.691741094100214,1.8814305651003953
1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,73,444,13,1,0,34.15384615384615,2,1,-0.4052344462024065,0.8174926909630931
1969,Graduation,Single,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,55,75,6,0,0,12.5,2,3,-1.4629878519015405,-0.8256459584044059
1976,Graduation,Married,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48,257,10,2,0,25.7,2,1,-1.1649553706314013,-0.07217860783194989
1989,Graduation,Married,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,35,131,7,1,0,18.714285714285715,2,3,-1.5201275899216125,-1.3930579913895316
1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,59,1672,25,0,1,66.88,4,0,3.480755316069976,0.6732006576503791
1989,Master,Divorced,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,35,30,6,0,0,5.0,3,3,-1.7767407757271245,-1.4635728453805936
1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,318,10,0,0,31.8,3,3,-0.35597957124769747,0.1622273161329956
1970,Graduation,Together,40548.0,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,54,120,7,1,1,17.142857142857142,2,3,-0.8390533333263344,-0.5566896346813054
1952,PhD,Divorced,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,72,302,11,2,0,27.454545454545453,4,1,-0.7780285368219334,2.4382076057847137
1946,Master,Married,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,78,1196,17,0,0,70.3529411764706,3,2,1.750593967990855,1.1511793087236002
1951,Master,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,73,65,5,2,0,13.0,3,1,-1.4221122717417554,1.9648984820644955
1970,PhD,Married,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,54,913,23,1,0,39.69565217391305,4,2,1.3300107522405649,1.0600589771116926
1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,48,81,6,1,0,13.5,1,3,-1.9406410416595705,-1.264381611543573
1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,51,67,5,1,0,13.4,2,3,-1.4565174070786733,-0.3743402055779602
1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,81,902,22,0,1,41.0,4,2,1.9759416481758347,1.7049987306255157
1980,Graduation,Married,80011.0,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,44,1395,19,1,0,73.42105263157895,2,2,1.4675358177871107,-0.7502093174508669
1985,Master,Married,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,39,53,5,1,0,10.6,3,3,-1.9888209214690873,-0.5731638013011982
1957,Graduation,Together,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,67,22,3,1,0,7.333333333333333,2,1,-1.966084252416491,0.26202197499361146
1975,Master,Married,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,49,31,5,1,0,6.2,3,3,-2.223677393434172,-0.18415148212932028
1976,Graduation,Single,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,48,984,15,0,0,65.6,2,2,1.3063745276312106,-0.9552211297167373
1996,2n Cycle,Married,7500.0,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,28,122,7,0,0,17.428571428571427,1,3,-1.9785345061178625,-3.084738503969916
1968,Graduation,Together,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,56,55,4,1,0,13.75,2,3,-1.5053131943678302,-0.11461925547244957
1954,PhD,Married,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,70,1319,19,2,0,69.42105263157895,4,2,1.255390711133624,2.465950278555386
1957,Graduation,Widow,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,67,507,16,1,0,31.6875,2,2,0.3662040136793729,0.5603774846903383
1964,Master,Married,79143.0,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,60,1693,28,0,0,60.464285714285715,3,2,3.0170996128877325,0.22191579129687006
1977,Graduation,Single,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,47,72,5,1,0,14.4,2,3,-1.6502551508570609,-0.7005578943826742
1977,Graduation,Divorced,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,47,1617,20,0,2,80.85,2,0,3.1731337541476434,-1.5386903388478395
1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,46,606,16,2,0,37.875,2,1,-0.15413814511468485,-0.029721599192355067
1955,Master,Together,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,69,1957,26,0,1,75.26923076923077,3,0,3.7381846259844087,0.5411596216503026
1966,Graduation,Divorced,70287.0,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,58,1093,20,0,0,54.65,2,2,1.6146116934321628,-0.48742650708672886
1988,Graduation,Single,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,36,29,5,1,0,5.8,2,3,-1.9783248352561817,-1.3860487788522493
1968,PhD,Married,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,56,518,16,1,0,32.375,4,2,0.2583698990902985,1.1441396782885336
1982,Master,Single,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,42,1438,20,0,2,71.9,3,0,2.9055527363889735,-1.3029315990236527
1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,49,612,18,2,0,34.0,2,2,0.018725681037936412,0.09194148509061457
1952,Graduation,Single,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,72,884,20,1,0,44.2,2,2,0.937903872276146,0.8085967940016099
1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,73,606,18,1,0,33.666666666666664,4,2,0.899778370377951,2.074029440261373
1948,Graduation,Together,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,76,1076,15,0,0,71.73333333333333,2,2,1.4359817562752635,0.4879577245745381
1971,Graduation,Married,25721.0,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,53,34,4,1,0,8.5,2,3,-1.9245162960820974,-0.3873366008583528
1967,Graduation,Together,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,57,11,3,2,0,3.6666666666666665,2,1,-2.2612046191277733,0.29581354320247455
1979,2n Cycle,Single,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,45,1274,31,1,2,41.096774193548384,1,0,3.202369267430936,-1.6280331929144936
1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,66,653,17,1,0,38.411764705882355,2,2,0.6341198209119584,0.47803402554097996
1970,Graduation,Together,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,54,1562,12,3,0,130.16666666666666,2,1,0.2601378176268414,0.9444381789522103
1954,Master,Married,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,70,1253,18,0,0,69.61111111111111,3,2,1.7542305291628313,0.6926325854500444
1959,Graduation,Married,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,65,863,26,1,0,33.19230769230769,2,2,1.3406339935983151,0.47861657056955365
1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,49,661,19,2,1,34.78947368421053,4,1,0.6624464188436667,1.121295508140323
1952,Graduation,Married,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,72,65,7,0,0,9.285714285714286,2,3,-1.019330423182401,0.13317740917942597
1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,47,13,3,1,0,4.333333333333333,2,3,-1.7354419070980713,-0.6641478758123425
1972,Master,Married,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,52,1890,18,0,0,105.0,3,2,2.3390581705111644,-0.27714491024740456
1976,Graduation,Single,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,48,2209,22,0,1,100.4090909090909,2,0,3.227974298075646,-1.3336354214550892
1976,2n Cycle,Together,26326.0,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,48,18,3,0,0,6.0,1,3,-1.7216379852629884,-1.9069249699922521
1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,59,692,19,0,1,36.421052631578945,2,2,1.3268389486187566,-0.7511213225628223
1985,Graduation,Single,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,39,165,8,1,0,20.625,2,3,-1.5723300345922202,-1.116637203587596
1969,Graduation,Married,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,55,16,3,1,0,5.333333333333333,2,3,-1.9869347171844696,-0.38437628259862755
1973,2n Cycle,Married,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,51,79,6,1,0,13.166666666666666,1,3,-1.9156831480043648,-1.0806376421894373
1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,318,10,0,0,31.8,3,3,-0.35597957124769747,0.1622273161329956
1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,37,778,26,0,0,29.923076923076923,2,2,1.8028731263845494,-1.5563700833321947
1960,Graduation,Married,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,64,56,5,2,0,11.2,2,1,-2.072514169310861,0.825327923272664
1970,Master,Married,36138.0,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,54,151,8,2,1,18.875,3,1,-1.1711847944873044,0.5927578496520838
1957,Graduation,Single,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,67,372,13,1,2,28.615384615384617,2,0,0.6022967510313607,-0.05215544686582119
1973,Graduation,Married,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,51,1366,18,0,1,75.88888888888889,2,0,2.3281591659002125,-1.0518375936446225
1967,Graduation,Together,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,57,194,9,1,0,21.555555555555557,2,1,-0.7426452411786586,0.004011168864506778
1972,Master,Single,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,52,32,4,1,0,8.0,3,1,-1.4504484309656647,0.22998701209383965
1970,PhD,Married,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,54,43,7,1,0,6.142857142857143,4,1,-1.543971972756313,0.8855186174013966
1983,Graduation,Married,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,41,45,5,1,0,9.0,2,3,-1.8665627866743175,-1.098787123009557
1960,Graduation,Widow,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64,606,17,1,1,35.64705882352941,2,2,0.5517711340188748,0.12251521011131562
1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,52,63,5,2,0,12.6,2,1,-1.6736249554213654,0.1791169917104197
1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,978,24,0,1,40.75,1,2,2.480254823833359,-0.3932068804240962
1983,PhD,Married,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,41,410,14,0,0,29.285714285714285,4,2,0.17337083104734857,-0.3180586662556686
1960,2n Cycle,Single,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,64,72,5,1,0,14.4,1,3,-1.3187954090763836,-0.3702931574204362
1959,PhD,Single,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,65,55,5,1,0,11.0,4,1,-1.3195770999904837,1.4788100876876906
1979,Graduation,Together,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,45,1169,25,1,0,46.76,2,2,1.8309378379619592,-0.52164920935412
1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,79,1120,15,0,0,74.66666666666667,4,2,1.6011003472948366,1.8822780804384476
1959,Graduation,Married,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,65,1097,19,0,0,57.73684210526316,2,2,2.0072522506800143,-0.00992642088844523
1979,Basic,Together,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,45,29,4,1,0,7.25,0,3,-2.232006164259922,-2.0059282868523756
1964,Graduation,Married,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,60,187,9,2,0,20.77777777777778,2,1,-1.2773394367926516,0.5931489828088065
1969,Graduation,Married,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,55,910,22,2,0,41.36363636363637,2,2,0.29217851636723763,0.41210326174594103
1978,Graduation,Single,38557.0,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,46,145,7,1,0,20.714285714285715,2,3,-1.3989671495383895,-0.7926261134154496
1960,Master,Married,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,64,850,13,0,0,65.38461538461539,3,2,1.5077528883782365,0.4990449940326307
1979,Graduation,Together,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,45,969,23,1,0,42.130434782608695,2,2,1.3208175959706328,-0.5790214726757369
1991,PhD,Single,68126.0,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,33,1820,16,0,1,113.75,4,0,2.3521324537099266,-1.0187469113567365
1963,Master,Together,57288.0,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,61,608,17,1,1,35.76470588235294,3,2,0.8360087696034585,0.5312358547571917
1991,Graduation,Single,86037.0,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,33,730,24,0,2,30.416666666666668,2,0,2.617678029369718,-2.136230365732486
1980,PhD,Married,43974.0,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,44,551,16,1,0,34.4375,4,1,-0.11054781805365625,0.3430655218861155
1962,Graduation,Single,50785.0,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,62,114,6,2,0,19.0,2,1,-1.4888294558504016,0.7190635701076636
1970,Graduation,Married,90765.0,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,54,1724,15,0,2,114.93333333333334,2,0,3.1743889125742664,-1.1919977394308248
1978,2n Cycle,Married,36550.0,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,46,577,15,1,0,38.46666666666667,1,3,-0.6053138247777086,-1.3007454673004
1967,2n Cycle,Together,30753.0,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,57,81,5,2,0,16.2,1,3,-2.190314196802801,-0.17426350155272297
1969,Graduation,Together,21918.0,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,55,33,5,1,0,6.6,2,3,-1.930503458938374,-0.34644207912718705
1953,Master,Together,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,71,660,18,1,0,36.666666666666664,3,2,0.568434787818725,1.3883465254369958
1967,Master,Single,32557.0,1,0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,57,80,6,1,0,13.333333333333334,3,1,-1.4572765596019177,0.3824429713767273
1985,Master,Married,19510.0,2,0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,39,30,4,2,0,7.5,3,3,-2.5366742164460607,-0.07657532890914905
1976,Graduation,Divorced,30992.0,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,48,43,4,1,0,10.75,2,3,-1.8417527376644618,-0.6285125621860719
1983,Graduation,Single,101970.0,0,0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,41,1135,27,0,3,42.03703703703704,2,0,4.079981964116731,-1.9098285847345668
1965,2n Cycle,Together,71488.0,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,59,559,14,0,0,39.92857142857143,1,2,0.6734641012365984,-0.9270706952403698
1984,Graduation,Single,79607.0,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,40,1923,15,0,0,128.2,2,2,2.0454632043882364,-1.540630877466236
1953,Master,Married,54348.0,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,71,90,6,2,0,15.0,3,1,-1.2363882653788265,1.876351193944703
1956,PhD,Together,77376.0,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,68,661,19,2,0,34.78947368421053,4,2,0.7716869126251762,2.4875219422710337
1952,Graduation,Married,62998.0,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,72,463,14,1,0,33.07142857142857,2,2,0.17718658054051392,0.7891765692364212
1958,Master,Single,61331.0,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,66,632,18,2,0,35.111111111111114,3,1,0.18172856922969954,1.647188109299076
1969,Graduation,Married,73448.0,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,55,725,18,0,0,40.27777777777778,2,2,1.1931075742602628,-0.6496274399595409
1964,PhD,Married,41551.0,1,1,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,60,279,11,2,0,25.363636363636363,4,1,-1.0239847865778318,1.8100316683829638
1967,PhD,Together,62981.0,0,0,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,57,1482,22,0,1,67.36363636363636,4,0,2.576652549544092,0.33509447437516005
1976,Basic,Divorced,9548.0,1,0,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,48,29,4,1,0,7.25,0,3,-2.5596101219179235,-2.0107638051736894
1959,PhD,Married,33762.0,2,1,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,65,106,6,3,0,17.666666666666668,4,1,-2.082659715121379,2.5930083557873265
1973,PhD,Single,35860.0,1,1,19-05-2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,51,49,4,2,1,12.25,4,1,-1.4724613543321101,0.9882356217973303
1965,PhD,Divorced,36921.0,1,1,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,59,38,5,2,0,7.6,4,1,-1.7637401180202934,1.7489417320796876
